Phase,,,
Ch1,,Ch2,
X,Y,X,Y
Hz,deg,Hz,deg
17.3611111111111,73.920280409276,17.3611111111111,77.2358457442402
20.8333333333333,58.4504336627145,20.8333333333333,60.8251396666936
24.3055555555556,44.7730952674041,24.3055555555556,46.9455778592158
27.7777777777778,32.8680203727719,27.7777777777778,34.8880840972129
31.25,22.0156843845695,31.25,24.0223189222073
34.7222222222222,11.8455246209364,34.7222222222222,13.8595245142491
38.1944444444444,2.57321054659994,38.1944444444444,4.35237000261681
41.6666666666667,-6.54522806020911,41.6666666666667,-4.80976755271253
45.1388888888889,-15.1555303238979,45.1388888888889,-13.320077662458
48.6111111111111,-23.8305015248031,48.6111111111111,-21.8272689437421
52.0833333333333,-31.7535252773949,52.0833333333333,-29.544086454028
55.5555555555556,-39.6643817103784,55.5555555555556,-37.3806654955662
59.0277777777778,-46.8009584468306,59.0277777777778,-44.5821868452868
62.5,-53.8167018159914,62.5,-51.3314715403341
65.9722222222222,-60.0511957020944,65.9722222222222,-57.4848540132219
69.4444444444444,-65.9465110474428,69.4444444444444,-63.1386316089147
72.9166666666667,-71.2559147552372,72.9166666666667,-68.3313627926845
76.3888888888889,-76.0945259162951,76.3888888888889,-72.9098914296385
79.8611111111111,-80.4274279666272,79.8611111111111,-77.0278043392065
83.3333333333333,-83.905907875289,83.3333333333333,-80.5136193671279
86.8055555555556,-87.0262619698435,86.8055555555556,-83.6274706249119
90.2777777777778,-89.6219143485304,90.2777777777778,-86.161979026966
93.75,-92.1146482493803,93.75,-88.4458985618479
97.2222222222222,-94.2102762834217,97.2222222222222,-90.2491266529041
100.694444444444,-95.8658815671277,100.694444444444,-91.7712746532767
104.166666666667,-96.9656671520631,104.166666666667,-92.8418508409484
107.638888888889,-97.6984440045666,107.638888888889,-93.5435199447743
111.111111111111,-98.1024698731699,111.111111111111,-93.7896425791338
114.583333333333,-97.9967662460528,114.583333333333,-93.7394382141067
118.055555555556,-97.7908701730274,118.055555555556,-93.6352800141398
121.527777777778,-96.3048491322097,121.527777777778,-92.5804564574401
125,-94.6026465489568,125,-91.3236659156957
128.472222222222,-94.3881166392509,128.472222222222,-90.7075628173924
131.944444444444,-94.4681416515362,131.944444444444,-90.174478396501
135.416666666667,-93.718231282367,135.416666666667,-89.0914253774396
138.888888888889,-92.0103370672974,138.888888888889,-87.5066001301069
142.361111111111,-90.0815016524346,142.361111111111,-85.6855447513945
145.833333333333,-88.2078562443002,145.833333333333,-83.8317681891901
149.305555555556,-86.3210329589511,149.305555555556,-81.8574314316209
152.777777777778,-84.2411349743668,152.777777777778,-79.595122965653
156.25,-81.733022189267,156.25,-76.8733631499414
159.722222222222,-79.1483441379119,159.722222222222,-74.1691895710413
163.194444444444,-76.3484541855579,163.194444444444,-71.9087042851902
166.666666666667,-74.1636577679103,166.666666666667,-69.3646309765992
170.138888888889,-71.9201503769154,170.138888888889,-66.8863619423125
173.611111111111,-69.1806188001802,173.611111111111,-64.7751888467164
177.083333333333,-66.3009528568384,177.083333333333,-61.9760649297087
180.555555555556,-63.4693328970946,180.555555555556,-59.7363456670452
