"Rub and Buzz Peak Ratio",,,
Ch1,,Ch2,
X,Y,X,Y
Hz,dB,Hz,dB
20,-24.6334595534528,20,-23.0762797599878
34.0049559235494,-65.7576535265762,34.0049559235494,-65.8809791234218
48.0099005115518,-65.9192671919136,48.0099005115518,-66.8622719240013
62.0199948809309,-65.5037532140563,62.0199948809309,-66.2327444859924
76.0190085131963,-62.7078491893885,76.0190085131963,-64.0017929525713
90.0241774349457,-59.4683636886688,90.0241774349457,-60.549017008732
104.028239371781,-57.3606632830576,104.028239371781,-56.8122346759716
118.038325883794,-53.6682216228736,118.038325883794,-55.3929934248749
132.053126076573,-49.9025473765614,132.053126076573,-53.7813074038409
146.060259821859,-51.1533739402054,146.060259821859,-50.4325529595244
160.051688728571,-47.8579517406374,160.051688728571,-47.8173764802854
174.057848381666,-48.2332633276951,174.057848381666,-49.8057994470661
188.078441449734,-47.6529382891697,188.078441449734,-50.3454537075041
202.075327946848,-48.9755737317203,202.075327946848,-49.9445348966287
216.071063651994,-47.4725874658177,216.071063651994,-50.3306107034682
230.094258353115,-50.6456882966381,230.094258353115,-51.9002739760983
244.099861181966,-48.4614162142502,244.099861181966,-52.3949915471862
258.090458543816,-49.0706878420406,258.090458543816,-51.0769303408134
272.127531035236,-49.3182115315385,272.127531035236,-52.6165162109194
286.133777885674,-51.7755202161972,286.133777885674,-51.9371389317162
300.115631803835,-50.1933514597036,300.115631803835,-52.4871982075838
314.138402917537,-51.84637410898,314.138402917537,-51.9808369120966
328.145439868778,-53.0112379547247,328.145439868778,-51.0314670963807
342.127516453906,-51.4006447738965,342.127516453906,-51.8457853729064
356.133354459538,-53.2805634003428,356.133354459538,-52.57998492513
370.172091292642,-52.8669585135121,370.172091292642,-53.7383443989079
384.147232535068,-52.36513288207,384.147232535068,-52.7939995771928
398.184954698648,-52.4110502430766,398.184954698648,-54.636310906901
412.1940540103,-54.0383515115156,412.1940540103,-53.9670157044929
426.198287447748,-56.5238302162444,426.198287447748,-53.1239558910209
440.164262900158,-57.2852797191226,440.164262900158,-54.8079825840262
454.190121127107,-54.5837874662872,454.190121127107,-54.1591171183732
468.18452217989,-54.2591149988092,468.18452217989,-57.9488283984582
482.187831562288,-54.6187681085409,482.187831562288,-55.3266799011235
496.175443443395,-54.9579128387761,496.175443443395,-54.9872423850227
510.196499903311,-56.2546037171182,510.196499903311,-56.9240647708598
524.231208234113,-55.0666335515122,524.231208234113,-56.3384595215532
538.259193666049,-53.6821574603019,538.259193666049,-53.9096677671655
552.259543593177,-54.388815929997,552.259543593177,-55.642081790959
566.210854985518,-55.8096359314994,566.210854985518,-56.8360481895287
580.260576945877,-53.0880419416244,580.260576945877,-54.5056680611026
594.225285730804,-55.5331383726753,594.225285730804,-54.841528800547
608.259784528769,-55.9153993893776,608.259784528769,-54.4009642198085
622.262500747307,-54.2650017150224,622.262500747307,-57.5946869954052
636.309004693027,-55.0734998988147,636.309004693027,-55.3624349751337
650.292969821726,-55.1600297163369,650.292969821726,-55.1103772726355
664.293436912242,-56.0175175459434,664.293436912242,-56.0615754760459
678.298376250144,-54.6457485558844,678.298376250144,-54.9324277849063
692.295495911718,-55.1266322459939,692.295495911718,-56.923581786255
706.272257975938,-56.6103209076511,706.272257975938,-55.0588640592527
720.320980764359,-55.0971293026205,720.320980764359,-56.7912802266973
734.327672498778,-56.4470729321255,734.327672498778,-55.5534999597822
748.27913815888,-53.8130052550879,748.27913815888,-56.7432579125604
762.273207721644,-57.3447228222679,762.273207721644,-56.9886485913622
776.302436005405,-55.8776637561762,776.302436005405,-57.4114377072337
790.359208651122,-57.5670193192071,790.359208651122,-56.2817108343538
804.31839161629,-56.7979916743787,804.31839161629,-58.3023397686675
818.404707510409,-57.572308829186,818.404707510409,-57.5198353281635
832.373319552074,-53.1166156672645,832.373319552074,-56.9001998355826
846.333357874968,-57.2882932953884,846.333357874968,-55.4922078673209
860.401985726466,-54.8282166111336,860.401985726466,-59.51565382601
874.32170983034,-53.679232602331,874.32170983034,-60.1301770547695
888.337014172872,-59.1551624203237,888.337014172872,-57.5945751164107
902.445308832938,-58.8255030670996,902.445308832938,-58.9773245972564
916.376489007084,-55.2543469359776,916.376489007084,-57.055338487586
930.386976091805,-58.4232109527432,930.386976091805,-59.42061888275
944.336077440006,-57.9074458111595,944.336077440006,-57.7527386999596
958.354483374157,-56.8918293468993,958.354483374157,-58.1153045302825
972.439102148746,-58.3127547368075,972.439102148746,-58.4111306694212
986.44283741664,-59.2954343942903,986.44283741664,-56.2990211295269
1000.35629433831,-57.7630705330407,1000.35629433831,-58.9876931349991
1014.46599606624,-58.5009057304102,1014.46599606624,-60.3292997483727
1028.47456366926,-59.7270984899391,1028.47456366926,-59.5980447918669
1042.37237011821,-59.7881401497484,1042.37237011821,-60.0959666686849
1056.45797802663,-59.2860641784769,1056.45797802663,-59.2668301495501
1070.42153658295,-61.3897127410048,1070.42153658295,-59.3734408193342
1084.41143203418,-57.9405366992919,1084.41143203418,-59.3430079587301
1098.42390004152,-56.696322298134,1098.42390004152,-57.6955488680321
1112.45511740502,-59.8311290959505,1112.45511740502,-61.0633505866906
1126.50120354834,-57.9828443144347,1126.50120354834,-59.8356090102539
1140.55822206472,-59.1926092330187,1140.55822206472,-60.7413251655053
1154.45373847152,-59.3169683583524,1154.45373847152,-58.6589891208723
1168.51854511925,-57.2486383636742,1168.51854511925,-57.7999821551667
1182.58215647635,-57.8392491934297,1182.58215647635,-58.9223740807332
1196.465856331,-60.2613972585043,1196.465856331,-58.5124892174277
1210.51255299785,-60.1390211141421,1210.51255299785,-58.690174194415
1224.54548929697,-58.2195063681307,1224.54548929697,-58.2964900844097
1238.56038754459,-57.5638612074116,1238.56038754459,-59.2203081779606
1252.5529287249,-60.4784155716598,1252.5529287249,-59.7060092869828
1266.5187545517,-60.2178479244231,1266.5187545517,-57.6393472187192
1280.64029778298,-62.8093130235387,1280.64029778298,-60.8679532279712
1294.54149958137,-59.1356390063985,1294.54149958137,-59.0035723482732
1308.59359731188,-57.5303098449338,1308.59359731188,-58.7046995634591
1322.60525045632,-58.5800110848295,1322.60525045632,-59.926896445191
1336.571915847,-58.8131346639352,1336.571915847,-58.8879697856762
1350.489021801,-61.0267175033983,1350.489021801,-60.0051818398626
1364.55104015053,-62.4323913307554,1364.55104015053,-58.1600919450666
1378.55833733133,-60.1300557937625,1378.55833733133,-65.4345464172658
1392.50624369416,-58.728059758095,1392.50624369416,-62.1429121261368
1406.59527146377,-63.6797026595027,1406.59527146377,-61.35740432516
1420.61956893748,-64.6224398426625,1420.61956893748,-61.0370253930431
1434.57437841741,-58.2942193437453,1434.57437841741,-59.9810600829663
1448.66626661418,-64.019728262733,1448.66626661418,-61.8815444461904
1462.68316311637,-60.1820307506356,1462.68316311637,-60.8545004193464
1476.62023278583,-61.2362447230004,1476.62023278583,-63.0319480934835
1490.69010080551,-62.6396419235344,1490.69010080551,-63.1339866323863
1504.67448872939,-61.9618637430755,1504.67448872939,-61.5880120353412
1518.56849524869,-63.1804579472611,1518.56849524869,-59.3460762233313
1532.59079756791,-62.5793398430431,1532.59079756791,-64.1494221361857
1546.74258035703,-66.1138184251526,1546.74258035703,-60.7140935844229
1560.56960731908,-61.8831869131352,1560.56960731908,-58.7921581594725
1574.74997513658,-63.2732132163023,1574.74997513658,-63.5039991174176
1588.59558423458,-60.1561967543497,1588.59558423458,-64.9242932812161
1602.79675400514,-64.244941670297,1602.79675400514,-62.4225036905985
1616.65307527823,-66.0006172400121,1616.65307527823,-66.0900442534822
1630.62918568785,-65.1062578061899,1630.62918568785,-63.5422978628493
1644.72612082183,-65.7196509516519,1644.72612082183,-66.8226244504851
1658.70290746132,-63.1784905525476,1658.70290746132,-61.2028935639625
