L-R-Diff Raw,
L-R-Diff Left,
X,Y
Hz,dB
17.36111111,0
20.83333333,0
24.30555556,0
27.77777778,0
31.25,0
34.72222222,0
38.19444444,0
41.66666667,0
45.13888889,0
48.61111111,0
52.08333333,0
55.55555556,0
59.02777778,0
62.5,0
65.97222222,0
69.44444444,0
72.91666667,0
76.38888889,0
79.86111111,0
83.33333333,0
86.80555556,0
90.27777778,0
93.75,0
97.22222222,0
100.6944444,0
104.1666667,0
107.6388889,0
111.1111111,0
114.5833333,0
118.0555556,0
121.5277778,0
125,0
128.4722222,0
131.9444444,0
135.4166667,0
138.8888889,0
142.3611111,0
145.8333333,0
149.3055556,0
152.7777778,0
156.25,0
159.7222222,0
163.1944444,0
166.6666667,0
170.1388889,0
173.6111111,0
177.0833333,0
180.5555556,0
184.0277778,0
187.5,0
190.9722222,0
194.4444444,0
197.9166667,0
201.3888889,0
204.8611111,0
208.3333333,0
211.8055556,0
215.2777778,0
218.75,0
222.2222222,0
225.6944444,0
229.1666667,0
232.6388889,0
236.1111111,0
239.5833333,0
243.0555556,0
246.5277778,0
250,0
253.4722222,0
256.9444444,0
260.4166667,0
263.8888889,0
267.3611111,0
270.8333333,0
274.3055556,0
277.7777778,0
281.25,0
284.7222222,0
288.1944444,0
291.6666667,0
295.1388889,0
298.6111111,0
302.0833333,0
305.5555556,0
309.0277778,0
312.5,0
315.9722222,0
319.4444444,0
322.9166667,0
326.3888889,0
329.8611111,0
333.3333333,0
336.8055556,0
340.2777778,0
343.75,0
347.2222222,0
350.6944444,0
354.1666667,0
357.6388889,0
361.1111111,0
364.5833333,0
368.0555556,0
371.5277778,0
375,0
378.4722222,0
381.9444444,0
385.4166667,0
388.8888889,0
392.3611111,0
395.8333333,0
399.3055556,0
402.7777778,0
406.25,0
409.7222222,0
413.1944444,0
416.6666667,0
420.1388889,0
423.6111111,0
427.0833333,0
430.5555556,0
434.0277778,0
437.5,0
440.9722222,0
444.4444444,0
447.9166667,0
451.3888889,0
454.8611111,0
458.3333333,0
461.8055556,0
465.2777778,0
468.75,0
472.2222222,0
475.6944444,0
479.1666667,0
482.6388889,0
486.1111111,0
489.5833333,0
493.0555556,0
496.5277778,0
500,0
503.4722222,0
506.9444444,0
510.4166667,0
513.8888889,0
517.3611111,0
520.8333333,0
524.3055556,0
527.7777778,0
531.25,0
534.7222222,0
538.1944444,0
541.6666667,0
545.1388889,0
548.6111111,0
552.0833333,0
555.5555556,0
559.0277778,0
562.5,0
565.9722222,0
569.4444444,0
572.9166667,0
576.3888889,0
579.8611111,0
583.3333333,0
586.8055556,0
590.2777778,0
593.75,0
597.2222222,0
600.6944444,0
604.1666667,0
607.6388889,0
611.1111111,0
614.5833333,0
618.0555556,0
621.5277778,0
625,0
628.4722222,0
631.9444444,0
635.4166667,0
638.8888889,0
642.3611111,0
645.8333333,0
649.3055556,0
652.7777778,0
656.25,0
659.7222222,0
663.1944444,0
666.6666667,0
670.1388889,0
673.6111111,0
677.0833333,0
680.5555556,0
684.0277778,0
687.5,0
690.9722222,0
694.4444444,0
697.9166667,0
701.3888889,0
704.8611111,0
708.3333333,0
711.8055556,0
715.2777778,0
718.75,0
722.2222222,0
725.6944444,0
729.1666667,0
732.6388889,0
736.1111111,0
739.5833333,0
743.0555556,0
746.5277778,0
750,0
753.4722222,0
756.9444444,0
760.4166667,0
763.8888889,0
767.3611111,0
770.8333333,0
774.3055556,0
777.7777778,0
781.25,0
784.7222222,0
788.1944444,0
791.6666667,0
795.1388889,0
798.6111111,0
802.0833333,0
805.5555556,0
809.0277778,0
812.5,0
815.9722222,0
819.4444444,0
822.9166667,0
826.3888889,0
829.8611111,0
833.3333333,0
836.8055556,0
840.2777778,0
843.75,0
847.2222222,0
850.6944444,0
854.1666667,0
857.6388889,0
861.1111111,0
864.5833333,0
868.0555556,0
871.5277778,0
875,0
878.4722222,0
881.9444444,0
885.4166667,0
888.8888889,0
892.3611111,0
895.8333333,0
899.3055556,0
902.7777778,0
906.25,0
909.7222222,0
913.1944444,0
916.6666667,0
920.1388889,0
923.6111111,0
927.0833333,0
930.5555556,0
934.0277778,0
937.5,0
940.9722222,0
944.4444444,0
947.9166667,0
951.3888889,0
954.8611111,0
958.3333333,0
961.8055556,0
965.2777778,0
968.75,0
972.2222222,0
975.6944444,0
979.1666667,0
982.6388889,0
986.1111111,0
989.5833333,0
993.0555556,0
996.5277778,0
1000,0
1003.472222,0
1006.944444,0
1010.416667,0
1013.888889,0
1017.361111,0
1020.833333,0
1024.305556,0
1027.777778,0
1031.25,0
1034.722222,0
1038.194444,0
1041.666667,0
1045.138889,0
1048.611111,0
1052.083333,0
1055.555556,0
1059.027778,0
1062.5,0
1065.972222,0
1069.444444,0
1072.916667,0
1076.388889,0
1079.861111,0
1083.333333,0
1086.805556,0
1090.277778,0
1093.75,0
1097.222222,0
1100.694444,0
1104.166667,0
1107.638889,0
1111.111111,0
1114.583333,0
1118.055556,0
1121.527778,0
1125,0
1128.472222,0
